# NED name
# SDSS ID in catalog
# RA
# DEC
# CO : Observed at IRAM/30m =O,  Literature=L not observed=N, Literature but reobserved OL
# Detected (Y=1/N=0 unclear=2)]
# HI (Y=1/N=0)
#
# attention certains (rares) ID_SDSS du fichier nasa ne sont pas exactement les ID_SDSS que donne NED
# HI Jy km/s
# H2 mass/Msun
# Reference for H2
                                             RA          DEC        v       CO?   detect HI?  HIJykm/s H2mass
# Filament 1 & Group 5354
        IC1022    J143001.83+034622.3   14 30 01.84   03 46 22.30   1722     N   xxx     1     5.4     xxx
       NGC5692    J143818.12+032437.2   14 38 18.11   03 24 37.20   1561     N   xxx     1     3.8     xxx
        IC1048    J144258.00+045322.0   14 42 58.00   04 53 22.10   1636     O     1     1    14.8     xxx
       NGC5701    J143911.09+052148.9   14 39 11.08   05 21 48.50   1505     N   xxx     1    64.6     xxx
       NGC5725    J144058.30+021111.9   14 40 58.32   02 11 11.60   1627     N   xxx     1     1.8     xxx
       NGC5746    J144455.89+015717.9   14 44 55.92   01 57 18.00   1724     O     1     1    48.8     xxx
       NGC5560    J142004.80+035934.0   14 20 04.49   03 59 32.90   1729     L     1     1     7.9     8.8
       NGC5574    J142056.30+031421.0   14 20 55.97   03 14 16.80   1589     L     0     1     0.7   <7.51
       NGC5638    J142940.39+031404.0   14 29 40.38   03 13 59.90   1676     L     1     1     0.7     8.0
       NGC5661    J143157.60+061505.0   14 31 57.39   06 15 01.50   2354    OL     1     1    16.5     xxx
       NGC5668    J143324.90+042702.0   14 33 24.34   04 27 01.60   1577    OL     1     1    52.1     xxx
       NGC5806    J150000.39+015328.7   15 00 00.40   01 53 28.70   1359     O     1     1    13.5     xxx
       NGC5841    J150635.03+020017.3   15 06 35.04   02 00 17.30   1244     N     0     N     xxx     xxx
      UGC08986    J140415.84+040643.8   14 04 15.84   04 06 43.90   1232     N     0     0     0.7     xxx
       NGC5300    J134816.04+035703.0   13 48 16.04   03 57 03.10   1171     L     1     1    16.8     8.3
       NGC5356    J135458.44+052001.2   13 54 58.46   05 20 01.40   1374     L     1     1     4.9     8.6
       NGC5470    J140630.99+060139.4   14 06 31.91   06 01 46.90   1026     O     1     1     5.6     xxx
       NGC5248    J133732.00+085306.9   13 37 32.02   08 53 06.60   1151     L     1     1    73.6     9.7
